Title,abstract,Authors,Keywords,publication year,doi link,pretreatment category,pretreatment type,pretreatment detail,substrate category,substrate name,substrate type,TS %,VS %,Tc %,Tn %,C/N,Cellulose %,hemi cellulose %,Lignin %
Methane production kinetics of pretreated slaughterhouse wastewater,"The aim of this work was to analyze the methane production kinetics of pretreated slaughterhouse wastewater through biochemical methane potential (BMP) tests, where the volumetric ratio and, consequently, the substrate to inoculum ratio (SIR) were varied. The thermal pretreatment was autoclaving (60 min at 120 degrees C/1.2 atm), and two phases appeared: liquid (clarified) and semisolid. Half of this semisolid also underwent a mechanical pretreatment (1 min with a cell disruptor). Afterward, BMP tests were carried out in serological bottles under five different volumetric ratios (1:1, 2:1, 3:1, 4:1 and 5:1), with RSWW, semisolid and semisolid after mechanical pretreatment as substrates. The volume of clarified liquid obtained after autoclaving was 84.5% of the RSWW, with removal percentages of COD, solids, proteins, and ammonium ranging from 50% to 89%, while the volume of the semisolid was only 4.35% of the RSWW, with the major portion of the pollutants concentrated in it. In the BMP tests, the methane generation was approximately fifteen times higher and lasted two times longer with semisolid as the substrate than that when using RSWW. The optimal volumetric ratio was 4:1 (SIR 5.67). The methane kinetics also changed: in RSWW, the kinetics followed the typical sigmoidal curve, whereas in semisolid, the kinetics were complex, showing a stepped curve. The cumulative methane production fit well to the Gompertz, Richards, logistic, Luedeking-Piret and modified first-order rate models, although none of them accurately described the second inflection point found at the end of the inhibited steady-state phase.","Hernandez-Fydrych, VC; Benitez-Olivares, G; Meraz-Rodriguez, MA; Salazar-Pelaez, ML; Fajardo-Ortiz, MC",Anaerobic digestion; Biogas; Physical pretreatment,2019,http://dx.doi.org/10.1016/j.biombioe.2019.105385,Physical,thermal,autoclave,animal byproduct,clarified slaughterhouse,,0.3,0.2,,,,,,
Effect of hydrothermal pretreatment on Miscanthus anaerobic digestion,"Miscanthus is a promising source of bioenergy with high lignocellulose content. This paper studied the effect of hydrothermal pretreatment on Miscanthus biogas production. Different pretreatment temperature from 125 to 200 degrees C was tested. After pretreatment, hemicellulose was partially removed and this led to a change in cellulose accessibility. Enzymatic hydrolysis was used to examine the digestibility of different samples. There was no obvious enhancement in low temperature (125 and 150 degrees C) conditions. According to the results, 200 degrees C hydrothermal pretreatment was the optimal condition saving 50% on the digestion time and increasing glucose production 13.2 times compared with the raw material. Although the cellulose crystallinity increased after the pretreatment, its effect on biogas production and enzymatic hydrolysis was limited. (C) 2016 Published by Elsevier Ltd.","Zhou, XF; Li, Q; Zhang, YL; Gu, Y",Miscanthus; Anaerobic digestion; Biogas; Hydrothermal pretreatment,2017,http://dx.doi.org/10.1016/j.biortech.2016.10.085,Physical,thermal,hydrothermal,lignocellulose,miscanthus,plant,94,99,49,0.5,99,,,
Thermal pretreatment of algae for anaerobic digestion,"The objective of this work was to determine the benefit of thermal pretreatment on biogas yield from microalgae-fed anaerobic digester mesocosms. Replicate Nanochloropsis oculata cultures were heated for 4 h at 30, 60, and 90 degrees C, as well as at a constant temperature of 90 degrees C for 1, 3.5, and 12 h. Net biogas production increased from 0.28 L biogas/g volatile solids added (VSa) for the control to 0.39 L biogas/g VSa (p < 0.01) when heated at 90 degrees C, but there was no improvement at 30 or 60 degrees C. Increased biogas production correlated with increased soluble chemical oxygen demand (COD). Net biogas production increased as a function of heating time, from 0.32 L biogas/g VSa for the control, to 0.41, 0.43, and 0.44 L biogas/g VSa (p < 0.05 for all combinations vs. control) when preheated at 90 degrees C for 1, 3.5, and 12 h, respectively. However, despite enhanced biogas production the energy balance is negative for thermal pretreatment. (C) 2013 Elsevier Ltd. All rights reserved.","Marsolek, MD; Kendall, E; Thompson, PL; Shuman, TR",Algae; Anaerobic digestion; Pretreatment; Biogas; Biofuel,2014,http://dx.doi.org/10.1016/j.biortech.2013.09.121,Physical,thermal,,micro-algae,Nanochloropsis oculata,,6.5,,,,,,,
Biomethane enhancement from corn straw using anaerobic digestion by-products as pretreatment agents: A highly effective and green strategy,"The development of biogas projects feed by lignocellulosic biomass has been constrained by the high cost of pre- and post-treatment. In this study, a novel strategy for pretreatment by using two by-products, i.e., CO2 and liquid digestate (LD), generated from anaerobic digestion (AD) was developed to overcome these shortcomings. Results showed that corn straw pretreated in LD pressurized under 1 Mpa CO2 at 55 degrees C resulted in increased glucose and xylose contents and a 9.80% decrease in cellulose crystallinity. After 45 days of AD conversion, the methane yield increased by 50.97% compared with untreated straw. However, pretreatment in LD pressurized under 1 Mpa CO2 at 170 degrees C produced 5- hydroxymethylfurfural and furfural, which led to a decrease in methane production from the straw in the subsequent AD conversion. The alteration of the microbial community in the pretreated slurry at 55 degrees C was another potential contributor to the enhanced performance of AD.","Ma, SS; Wang, HL; Wang, BS; Gu, XH; Zhu, WB",Biomass pretreatment; Anaerobic digestion; Biogas; Biomethane; Lignocellulose,2022,http://dx.doi.org/10.1016/j.biortech.2021.126177,Physical,thermal,,lignocellulose,corn,straw,93,81,42,1.13,37,,,
Biomethane enhancement from corn straw using anaerobic digestion by-products as pretreatment agents: A highly effective and green strategy,"The development of biogas projects feed by lignocellulosic biomass has been constrained by the high cost of pre- and post-treatment. In this study, a novel strategy for pretreatment by using two by-products, i.e., CO2 and liquid digestate (LD), generated from anaerobic digestion (AD) was developed to overcome these shortcomings. Results showed that corn straw pretreated in LD pressurized under 1 Mpa CO2 at 55 degrees C resulted in increased glucose and xylose contents and a 9.80% decrease in cellulose crystallinity. After 45 days of AD conversion, the methane yield increased by 50.97% compared with untreated straw. However, pretreatment in LD pressurized under 1 Mpa CO2 at 170 degrees C produced 5- hydroxymethylfurfural and furfural, which led to a decrease in methane production from the straw in the subsequent AD conversion. The alteration of the microbial community in the pretreated slurry at 55 degrees C was another potential contributor to the enhanced performance of AD.","Ma, SS; Wang, HL; Wang, BS; Gu, XH; Zhu, WB",Biomass pretreatment; Anaerobic digestion; Biogas; Biomethane; Lignocellulose,2022,http://dx.doi.org/10.1016/j.biortech.2021.126177,Chemical,acidic,co2 pressurized,lignocellulose,corn,straw,93,81,42,1.13,37,,,
Biomethane enhancement from corn straw using anaerobic digestion by-products as pretreatment agents: A highly effective and green strategy,"The development of biogas projects feed by lignocellulosic biomass has been constrained by the high cost of pre- and post-treatment. In this study, a novel strategy for pretreatment by using two by-products, i.e., CO2 and liquid digestate (LD), generated from anaerobic digestion (AD) was developed to overcome these shortcomings. Results showed that corn straw pretreated in LD pressurized under 1 Mpa CO2 at 55 degrees C resulted in increased glucose and xylose contents and a 9.80% decrease in cellulose crystallinity. After 45 days of AD conversion, the methane yield increased by 50.97% compared with untreated straw. However, pretreatment in LD pressurized under 1 Mpa CO2 at 170 degrees C produced 5- hydroxymethylfurfural and furfural, which led to a decrease in methane production from the straw in the subsequent AD conversion. The alteration of the microbial community in the pretreated slurry at 55 degrees C was another potential contributor to the enhanced performance of AD.","Ma, SS; Wang, HL; Wang, BS; Gu, XH; Zhu, WB",Biomass pretreatment; Anaerobic digestion; Biogas; Biomethane; Lignocellulose,2022,http://dx.doi.org/10.1016/j.biortech.2021.126177,Biological,biological active substrate,digestate,lignocellulose,corn,straw,93,81,42,1.13,37,,,
Effects of Pretreatment and Ratio of Solid Sago Waste to Rumen on Biogas Production through Solid-State Anaerobic Digestion,"Solid sago waste is a potential source of producing renewable energy in the form of biogas. This study investigated the effects of solid sago waste particle size, biological pretreatment using a microbial consortium of lignocelluloses, pretreatment with NaOH, and the ratio between solid sago waste and cow rumen based on the biogas production rate. Several variations of these conditions were used to achieve this. The anaerobic digestion process was conducted over two months at 30.42 degrees C +/- 0.05 degrees C, and the biogas production rate was measured every two days. The 1:1 ratio showed better results compared to the 2:1, because it allows the bacteria to achieve metabolic balance. The highest cumulative biogas production (27.91 mL/g TS) was generated when the sago waste underwent milling (+/- 1 mm), pretreatment with 4% NaOH g/g TS, and treatment with microbial consortium 5% v/v at a 1:1 ratio of solid sago waste to the rumen.","Sumardiono, S; Adisukmo, G; Hanif, M; Budiyono, B; Cahyono, H",anaerobic digestion; biogas; pretreatment; solid-state anaerobic digestion method; solid sago waste,2021,http://dx.doi.org/10.3390/su13137491,Physical,mechanical desintegration,milling,lignocellulose,sago,waste,,,,,,,,
Effects of Pretreatment and Ratio of Solid Sago Waste to Rumen on Biogas Production through Solid-State Anaerobic Digestion,"Solid sago waste is a potential source of producing renewable energy in the form of biogas. This study investigated the effects of solid sago waste particle size, biological pretreatment using a microbial consortium of lignocelluloses, pretreatment with NaOH, and the ratio between solid sago waste and cow rumen based on the biogas production rate. Several variations of these conditions were used to achieve this. The anaerobic digestion process was conducted over two months at 30.42 degrees C +/- 0.05 degrees C, and the biogas production rate was measured every two days. The 1:1 ratio showed better results compared to the 2:1, because it allows the bacteria to achieve metabolic balance. The highest cumulative biogas production (27.91 mL/g TS) was generated when the sago waste underwent milling (+/- 1 mm), pretreatment with 4% NaOH g/g TS, and treatment with microbial consortium 5% v/v at a 1:1 ratio of solid sago waste to the rumen.","Sumardiono, S; Adisukmo, G; Hanif, M; Budiyono, B; Cahyono, H",anaerobic digestion; biogas; pretreatment; solid-state anaerobic digestion method; solid sago waste,2021,http://dx.doi.org/10.3390/su13137491,Chemical,alkaline,NAOH,lignocellulose,sago,waste,,,,,,,,
Effects of Pretreatment and Ratio of Solid Sago Waste to Rumen on Biogas Production through Solid-State Anaerobic Digestion,"Solid sago waste is a potential source of producing renewable energy in the form of biogas. This study investigated the effects of solid sago waste particle size, biological pretreatment using a microbial consortium of lignocelluloses, pretreatment with NaOH, and the ratio between solid sago waste and cow rumen based on the biogas production rate. Several variations of these conditions were used to achieve this. The anaerobic digestion process was conducted over two months at 30.42 degrees C +/- 0.05 degrees C, and the biogas production rate was measured every two days. The 1:1 ratio showed better results compared to the 2:1, because it allows the bacteria to achieve metabolic balance. The highest cumulative biogas production (27.91 mL/g TS) was generated when the sago waste underwent milling (+/- 1 mm), pretreatment with 4% NaOH g/g TS, and treatment with microbial consortium 5% v/v at a 1:1 ratio of solid sago waste to the rumen.","Sumardiono, S; Adisukmo, G; Hanif, M; Budiyono, B; Cahyono, H",anaerobic digestion; biogas; pretreatment; solid-state anaerobic digestion method; solid sago waste,2021,http://dx.doi.org/10.3390/su13137491,Biological,microbial consortium,,lignocellulose,sago,waste,,,,,,,,
"Low-heat, mild alkaline pretreatment of switchgrass for anaerobic digestion","This study examines the effectiveness of alkaline pretreatment under mild heat conditions (100 degrees C or 212 degrees F) on the anaerobic co-digestion of switchgrass. The effects of alkaline concentration, types of alkaline, heating time and rinsing were evaluated. In addition to batch studies, continuous-feed studies were performed in triplicate to identify potential digester operational problems caused by switchgrass co-digestion while accounting for uncertainty due to digester variability. Few studies have examined anaerobic digestion of switchgrass or the effects of mild heating to enhance alkaline pretreatment prior to biomass digestion. Results indicate that pretreatment can significantly enhance digestion of coarse-ground ( 0.78cm particle size) switchgrass. Energy conversion efficiency as high as 63% was observed, and was comparable or superior to fine-grinding as a pretreatment method. The optimal NaOH concentration was found to be 5.5% (wt/wt alkaline/biomass) with a 91.7% moisture level. No evidence of operational problems such as solids build-up, poor mixing, or floating materials were observed. These results suggest the use of waste heat from a generator could reduce the concentration of alkaline required to adequately pretreat lignocellulosic feedstock prior to anaerobic digestion.","Jin, G; Bierma, T; Walker, PM",Anaerobic digestion; alkaline pretreatment; biogas; switchgrass; NaOH,2014,http://dx.doi.org/10.1080/10934529.2014.859453,Chemical,alkaline,naoh,lignocellulose,switchgrass,grass,93,,,,,,,
